Date,Close,High,Low,Open,Volume,SMA,EMA,RSI,MACD,MACD_Signal,BB_Upper,BB_Middle,BB_Lower,ATR,Close_Lag_1,Close_Lag_2,Close_Lag_3,Close_Lag_5,Close_Lag_10
2023-06-21,18856.84961,18875.90039,18794.84961,18849.40039,217500,18690.56780142857,18692.2209674023,66.30177151056326,157.63827057046365,158.2608551431319,18895.97968897655,18637.154980500003,18378.330272023457,133.3477416951777,18816.69922,18755.44922,18826.0,18755.90039,18726.40039
2023-06-22,18771.25,18886.59961,18759.5,18853.59961,252700,18707.507114999997,18702.75817174866,60.844752151760964,150.4940648931588,156.70749709313728,18880.088742552223,18659.659961,18439.23117944778,132.90144657409365,18856.84961,18816.69922,18755.44922,18688.09961,18634.55078
2023-06-23,18665.5,18756.40039,18647.09961,18741.84961,210600,18712.624999999996,18697.790415515505,54.839676043201635,134.74582323836876,152.31516232218357,18875.764804108378,18667.967480500003,18460.17015689163,132.27637110451545,18771.25,18856.84961,18816.69922,18826.0,18563.40039
2023-06-26,18691.19922,18722.05078,18646.69922,18682.34961,171300,18719.210658571425,18696.911589446772,55.976783250490094,122.9219725602452,146.4365243697959,18878.121187418423,18672.594922,18467.068656581578,128.21031316847885,18665.5,18771.25,18856.84961,18755.44922,18601.5
2023-06-27,18817.40039,18829.25,18714.25,18748.55078,222500,18725.710658571425,18712.97676285387,61.150029791570134,122.32478148695373,141.61417579322747,18895.77625012564,18681.772461000004,18467.768671874368,128.91320365644475,18691.19922,18665.5,18771.25,18816.69922,18716.15039
2023-06-28,18972.09961,19011.25,18861.34961,18908.15039,398800,18749.82128928571,18747.526475806688,66.36739601990598,132.80356065760134,139.85205276610225,18941.136012436462,18703.657422,18466.17883156354,133.5515183952702,18817.40039,18691.19922,18665.5,18856.84961,18755.90039
2023-06-30,19189.05078,19201.69922,19024.59961,19076.84961,247900,18794.51060285714,18806.396383032465,72.03863075396451,156.80664552739836,143.24297131836147,19037.513345229087,18738.722461,18439.931576770916,140.41209636703644,18972.09961,18817.40039,18691.19922,18771.25,18688.09961
2023-07-03,19322.55078,19345.09961,19234.40039,19246.5,226100,18846.014229999997,18875.216969294805,74.84907540861312,184.47508358176856,151.4893937710429,19156.108561401605,18778.1450195,18400.181477598395,141.5290059122481,19189.05078,18972.09961,18817.40039,18665.5,18826.0
2023-07-04,19389.0,19434.15039,19300.0,19406.59961,226900,18894.07491642857,18943.72137338883,76.13487594884974,209.35114708782203,163.06174443439872,19269.97509891403,18817.902539000002,18365.829979085975,141.001961918516,19322.55078,19189.05078,18972.09961,18691.19922,18755.44922
2023-07-05,19398.5,19421.59961,19339.59961,19405.94922,224400,18939.97488857143,19004.358523603652,76.32125484422666,227.213007132872,175.8919969740934,19363.65675462198,18857.877539,18352.09832337802,136.78753606719343,19389.0,19322.55078,19189.05078,18817.40039,18816.69922
2023-07-06,19497.30078,19512.19922,19373.0,19385.69922,268300,18997.77497214286,19070.08415778983,78.22582186606638,246.49956361109798,190.0135103014943,19469.29681078077,18896.422558500002,18323.548306219236,136.95979920525093,19398.5,19389.0,19322.55078,18972.09961,18856.84961
2023-07-07,19331.80078,19523.59961,19303.59961,19422.80078,237100,19033.903599285717,19104.979707417853,68.31367886760876,245.59872252012428,201.1305527452203,19520.792316112624,18931.2850585,18341.77780088738,142.89124211916157,19497.30078,19398.5,19389.0,19189.05078,18771.25
2023-07-10,19355.90039,19435.84961,19327.09961,19400.34961,268200,19076.79296857143,19138.435798428807,68.93104216881709,244.0165655112978,209.7077552984358,19562.712436294725,18970.9100585,18379.107680705278,140.4525819677929,19331.80078,19497.30078,19398.5,19322.55078,18665.5
2023-07-11,19439.40039,19515.09961,19406.44922,19427.09961,251300,19121.271623571432,19178.5644106383,71.03665650743018,246.6571369088124,217.09763162051112,19612.649360798005,19012.805078,18412.960795201998,141.79162754152213,19355.90039,19331.80078,19497.30078,19389.0,18691.19922
2023-07-12,19384.30078,19507.69922,19361.75,19497.44922,327900,19158.946707142863,19205.995926553194,67.77263330729801,241.5196426258517,221.98203382157925,19650.654426551544,19046.2125975,18441.77076844846,142.08859843141332,19439.40039,19355.90039,19331.80078,19398.5,18817.40039
2023-07-13,19413.75,19567.0,19385.80078,19495.19922,310400,19204.839564285718,19233.696469679435,68.60299797338232,237.0914051947475,225.0039080962129,19688.352791574842,19079.105078,18469.85736442516,144.9893571148837,19384.30078,19439.40039,19355.90039,19497.30078,18972.09961
