Date,Close,High,Low,Open,Volume
05-14-24,22217.84961,22270.05078,22081.25,22112.90039,230200
05-15-24,22200.55078,22297.55078,22151.75,22255.59961,231900
05-16-24,22403.84961,22432.25,22054.55078,22319.19922,368900
05-17-24,22466.09961,22502.15039,22345.65039,22415.25,242700
05-21-24,22529.05078,22591.09961,22404.55078,22404.55078,347600
05-22-24,22597.80078,22629.5,22483.15039,22576.59961,290300
05-23-24,22967.65039,22993.59961,22577.44922,22614.09961,369800
05-24-24,22957.09961,23026.40039,22908,22930.75,261900
05-27-24,22932.44922,23110.80078,22871.19922,23038.94922,260000
05-28-24,22888.15039,22998.55078,22858.5,22977.15039,217900
05-29-24,22704.69922,22825.5,22685.44922,22762.75,269900
05-30-24,22488.65039,22705.75,22417,22617.44922,373400
05-31-24,22530.69922,22653.75,22465.09961,22568.09961,572100
06-03-24,23263.90039,23338.69922,23062.30078,23337.90039,569400
06-04-24,21884.5,23179.5,21281.44922,23179.5,1006100
06-05-24,22620.34961,22670.40039,21791.94922,22128.34961,638500
06-06-24,22821.40039,22910.15039,22642.59961,22798.59961,480400
06-07-24,23290.15039,23320.19922,22789.05078,22821.84961,473600
06-10-24,23259.19922,23411.90039,23227.15039,23319.15039,304400
06-11-24,23264.84961,23389.44922,23206.65039,23283.75,305200
06-12-24,23322.94922,23441.94922,23295.94922,23344.44922,295600
06-13-24,23398.90039,23481.05078,23353.90039,23480.94922,268300
06-14-24,23465.59961,23490.40039,23334.25,23464.94922,223100
06-18-24,23557.90039,23579.05078,23499.69922,23570.80078,272200
06-19-24,23516,23664,23412.90039,23629.84961,328800
06-20-24,23567,23624,23442.59961,23586.15039,280300
06-21-24,23501.09961,23667.09961,23398.19922,23661.15039,609900
06-24-24,23537.84961,23558.09961,23350,23382.30078,239400
06-25-24,23721.30078,23754.15039,23562.05078,23577.09961,298100
06-26-24,23868.80078,23889.90039,23670.44922,23723.09961,287800
06-27-24,24044.5,24087.44922,23805.40039,23881.55078,515200
06-28-24,24010.59961,24174,23985.80078,24085.90039,354800
07-01-24,24141.94922,24164,23992.69922,23992.94922,0
07-02-24,24123.84961,24236.34961,24056.40039,24228.75,0
07-03-24,24286.5,24309.15039,24207.09961,24291.75,0
07-04-24,24302.15039,24401,24281,24369.94922,251200
07-05-24,24323.84961,24363,24168.84961,24213.34961,298400
07-08-24,24320.55078,24344.59961,24240.55078,24329.44922,266300
07-09-24,24433.19922,24443.59961,24331.90039,24351,250500
07-10-24,24324.44922,24461.05078,24141.80078,24459.84961,292300
07-11-24,24315.94922,24402.65039,24193.75,24396.55078,306400
07-12-24,24502.15039,24592.19922,24331.15039,24387.94922,325800
07-15-24,24586.69922,24635.05078,24522.75,24587.59961,305400
07-16-24,24613,24661.25,24587.65039,24615.90039,283200
07-18-24,24800.84961,24837.75,24504.44922,24543.80078,350900
07-19-24,24530.90039,24854.80078,24508.15039,24853.80078,343800
07-22-24,24509.25,24595.19922,24362.30078,24445.75,324200
07-23-24,24479.05078,24582.55078,24074.19922,24568.90039,436400
07-24-24,24413.5,24504.25,24307.25,24444.94922,366600
07-25-24,24406.09961,24426.15039,24210.80078,24230.94922,391800
07-26-24,24834.84961,24861.15039,24410.90039,24423.34961,383800
07-29-24,24836.09961,24999.75,24774.59961,24943.30078,355000
07-30-24,24857.30078,24971.75,24798.65039,24839.40039,385000
07-31-24,24951.15039,24984.59961,24856.5,24886.69922,333600
08-01-24,25010.90039,25078.30078,24956.40039,25030.94922,431300
08-02-24,24717.69922,24851.90039,24686.84961,24789,345000
