Date,Open,High,Low,Close,Volume
16-12-2022,3280,3291.1001,3225.1001,3238.1001,66727
19-12-2022,3234,3246,3195,3201.6001,90877
20-12-2022,3201,3248.05,3164,3242.8999,28562
21-12-2022,3249,3283,3239.3501,3267.1499,91096
22-12-2022,3288,3290.95,3244.6001,3258.7,41242
23-12-2022,3235.1001,3265.8501,3218.7,3227.3,88714
26-12-2022,3225,3271.95,3225,3255.8501,18484
27-12-2022,3265,3273.95,3230.6001,3259.05,34548
28-12-2022,3245,3266.95,3226.8,3256.3,41409
29-12-2022,3233,3271,3229.05,3269.25,52967
30-12-2022,3285,3299.05,3246.75,3259.25,182089
02-01-2023,3265,3267,3235.8501,3260.6499,72106
03-01-2023,3260,3319.55,3247.7,3310.8501,45996
04-01-2023,3304,3326.8501,3286.8501,3314.05,42280
05-01-2023,3330,3336.1001,3283.1001,3310.3501,54074
06-01-2023,3300,3300.05,3200,3212,91907
09-01-2023,3243.8999,3327.8,3215.3,3319.7,169062
10-01-2023,3290,3292.5,3231,3286.2,94932
11-01-2023,3289,3349,3272,3328.8501,72414
12-01-2023,3333,3350,3316,3334.6001,83856
13-01-2023,3349,3379.1001,3305.2,3374.2,98757
16-01-2023,3320,3352.3999,3298.75,3334.3999,64489
17-01-2023,3334,3383,3319.75,3378.8501,121563
18-01-2023,3373.55,3407.6499,3371,3390.55,107557
19-01-2023,3380,3387.1001,3360.55,3372.3999,77208
20-01-2023,3369.7,3393.8,3356.2,3361.6499,46357
23-01-2023,3375.3,3418,3358,3414,46966
24-01-2023,3423,3451.75,3416.1001,3435.8501,55283
25-01-2023,3425,3435.95,3405.7,3431.55,39744
27-01-2023,3430,3447,3382.1499,3410.3999,91518
30-01-2023,3413.55,3457.95,3387.1499,3435.3999,59893
31-01-2023,3442.05,3444.8501,3347.7,3357.45,79115
01-02-2023,3380,3418,3355.6001,3407.6499,43182
02-02-2023,3407.05,3468.3,3407.05,3461.95,48456
03-02-2023,3492.6001,3498,3452.45,3481.8501,125650
06-02-2023,3475,3475,3437,3460,21416
07-02-2023,3464,3492,3460.1499,3470.6499,80033
08-02-2023,3472,3539.5,3472,3518.7,50900
09-02-2023,3518.7,3547.95,3504,3541.1499,32844
10-02-2023,3512.05,3541.1499,3506.6499,3535.45,48411
13-02-2023,3548,3548,3475,3482.75,26143
14-02-2023,3499,3524.2,3496.1001,3499.1499,141270
15-02-2023,3490,3525,3460.45,3518.8999,30042
16-02-2023,3530,3575,3526,3553.95,57676
17-02-2023,3525,3536.75,3489.95,3499.6499,50874
20-02-2023,3506,3522,3475.2,3486.1001,43050
21-02-2023,3489,3507.95,3445,3449.3999,102243
